fault_id,shah_subcategory,A_cp,B_cp,A_tp,B_tp,A_modes,B_modes,description_excerpt
shah-mindsdb-mindsdb-pull-7410,Connection Setup Failure,,,,pre_generation,,incomplete_execution|logic_error,"[mindsdb/mindsdb pull#7410, Shah subcategory: Connection Setup Failure] This fault occurs when incorrect connection parameters are used. It includes invalid endpoints, incorrect paths, or misconfigure"
shah-Arize-ai-phoenix-pull-5003,Authentication or Authorisation Failure,,,,pre_generation,,logic_error|security_vulnerability,"[Arize-ai/phoenix pull#5003, Shah subcategory: Authentication or Authorisation Failure] This fault occurs when access to a protected resource fails due to incorrect client credentials, misconfigured s"
shah-browser-use-browser-use-issues-2571,Authentication or Authorisation Failure,,,,pre_generation,,logic_error|security_vulnerability,"[browser-use/browser-use issues#2571, Shah subcategory: Authentication or Authorisation Failure] This fault occurs when access to a protected resource fails due to incorrect client credentials, miscon"
shah-qodo-ai-pr-agent-issues-1324,Resource Handling Error,,correction,,post_generation,,security_vulnerability,"[qodo-ai/pr-agent issues#1324, Shah subcategory: Resource Handling Error] This fault occurs when shared resources such as threads, files, or locks are incorrectly managed or synchronised. It includes "
shah-agno-agi-agno-issues-1189,Database Misconfiguration,,,,pre_generation,,logic_error,"[agno-agi/agno issues#1189, Shah subcategory: Database Misconfiguration] This fault arises when database connection or configuration settings are incorrect or inconsistent with the expected usage. It "
shah-langflow-ai-langflow-pull-8457,Logging or Telemetry Defect,,detection,,post_generation,,logic_error,"[langflow-ai/langflow pull#8457, Shah subcategory: Logging or Telemetry Defect] This fault arises when intended logging, tracing, or metric instrumentation is missing, incorrect, or incomplete. It inc"
shah-camel-ai-camel-pull-2119,Memory Persistence Failure,,,,post_generation,,context_pollution|logic_error,"[camel-ai/camel pull#2119, Shah subcategory: Memory Persistence Failure] This fault occurs when mechanisms that store or update conversational or task context are incorrectly implemented. It includes "
shah-lavague-ai-LaVague-issues-338,State Load/Save Failure,,,,post_generation,,logic_error,"[lavague-ai/LaVague issues#338, Shah subcategory: State Load/Save Failure] This fault arises when serialisation or file-system persistence of state is incorrectly implemented or constrained by invalid"
shah-deepset-ai-haystack-issues-6098,Type Handling Error,,,,post_generation,,logic_error,"[deepset-ai/haystack issues#6098, Shah subcategory: Type Handling Error] This fault arises when dynamic inputs violate internal type expectations or when type checks are missing or incorrect. It inclu"
shah-deepset-ai-haystack-pull-2262,Logic/Constraint Violation,,,,in_generation,,cascading_failure|logic_error,"[deepset-ai/haystack pull#2262, Shah subcategory: Logic/Constraint Violation] This fault occurs when deterministic transformation or parsing logic incorrectly processes data before or after LLM intera"
shah-langflow-ai-langflow-issues-8482,Encoding/Decoding Error,,correction,,post_generation,,logic_error,"[langflow-ai/langflow issues#8482, Shah subcategory: Encoding/Decoding Error] This fault arises when character encoding, filename encoding, or file-format handling is inconsistent with input data. It "
shah-camel-ai-camel-issues-1361,Validation Omission,,prevention,,post_generation,,cascading_failure|logic_error,"[camel-ai/camel issues#1361, Shah subcategory: Validation Omission] This fault occurs when required validation checks on external or model-generated data are missing or incomplete. It includes absent "
shah-deepset-ai-haystack-issues-6652,Dependency Specification Error,,prevention,,pre_generation,,,"[deepset-ai/haystack issues#6652, Shah subcategory: Dependency Specification Error] This fault arises when declared dependency versions or constraints are incorrect or incompatible with upstream libra"
shah-FoundationAgents-MetaGPT-issues-1658,Dependency Installation Failure,,,,pre_generation,,logic_error,"[FoundationAgents/MetaGPT issues#1658, Shah subcategory: Dependency Installation Failure] This fault arises when environment provisioning or package installation is incorrectly configured or constrain"
shah-microsoft-autogen-issues-1382,Platform Constraint Mismatch,,,,pre_generation,,,"[microsoft/autogen issues#1382, Shah subcategory: Platform Constraint Mismatch] This fault occurs when assumptions about operating systems, architectures, or runtime environments conflict with the hos"
shah-Netflix-metaflow-issues-599,API Compatibility Mismatch,,,,,,obsolescence,"[Netflix/metaflow issues#599, Shah subcategory: API Compatibility Mismatch] This fault arises when the system relies on deprecated or altered external library APIs. It includes outdated method calls o"
shah-mindsdb-mindsdb-pull-9659,Exception Handling Defect,,detection,,post_generation,,,"[mindsdb/mindsdb pull#9659, Shah subcategory: Exception Handling Defect] This fault occurs when exceptions are not correctly detected, propagated, or communicated. It includes swallowed exceptions, mi"
shah-crewAIInc-crewAI-issues-2263,Implementation Defect,,,,post_generation,,logic_error,"[crewAIInc/crewAI issues#2263, Shah subcategory: Implementation Defect] This fault arises from incorrect program logic in otherwise syntactically valid code. It includes erroneous control flow, incorr"
shah-deepset-ai-haystack-pull-6382,Parsing Failures,,correction,,in_generation,,logic_error,"[deepset-ai/haystack pull#6382, Shah subcategory: Parsing Failures] The agent fails to interpret structured inputs correctly and returns incomplete or null outputs instead of valid data structures. Fo"
shah-langflow-ai-langflow-issues-2182,Validation Errors,,prevention,,,,,"[langflow-ai/langflow issues#2182, Shah subcategory: Validation Errors] The agent receives or generates data that does not match the required schema or format, causing reasoning or execution steps to "
shah-mindsdb-mindsdb-pull-4387,Logic Errors,,,,post_generation,,cascading_failure|fabrication|logic_error,"[mindsdb/mindsdb pull#4387, Shah subcategory: Logic Errors] The agent propagates invalid or inconsistent values, such as NaN or undefined variables, which corrupt subsequent computations or decisions."
shah-langflow-ai-langflow-pull-6911,Security Vulnerabilities,,prevention,,pre_generation,,security_vulnerability,"[langflow-ai/langflow pull#6911, Shah subcategory: Security Vulnerabilities] The agent exhibits unsafe behaviour, such as unintended access paths, uncontrolled resource usage, or exposure of protected"
shah-FoundationAgents-MetaGPT-issues-868,Security Vulnerabilities,,prevention,,pre_generation,,security_vulnerability,"[FoundationAgents/MetaGPT issues#868, Shah subcategory: Security Vulnerabilities] The agent exhibits unsafe behaviour, such as unintended access paths, uncontrolled resource usage, or exposure of prot"
shah-letta-ai-letta-issues-1068,Installation Failures,,prevention,,pre_generation,,,"[letta-ai/letta issues#1068, Shah subcategory: Installation Failures] The installation or environment provisioning process aborts due to platform constraints, missing build components, or filesystem l"
shah-mindsdb-mindsdb-issues-4204,Import Errors,,prevention,,pre_generation,,,"[mindsdb/mindsdb issues#4204, Shah subcategory: Import Errors] The system installs successfully but crashes at runtime because required modules or shared libraries cannot be located or loaded. This sy"
shah-deepset-ai-haystack-pull-2630,Dependency Conflicts,,prevention,,post_generation,,,"[deepset-ai/haystack pull#2630, Shah subcategory: Dependency Conflicts] The agent requires incompatible versions of libraries, preventing consistent dependency resolution or execution. For example, la"
shah-pydantic-pydantic-ai-issues-1798,Application Crashes,,recovery,,post_generation,,cascading_failure,"[pydantic/pydantic-ai issues#1798, Shah subcategory: Application Crashes] The agent terminates unexpectedly during normal operation or test execution. For instance, microsoft/autogen (e.g., PR #2718) "
shah-deepset-ai-haystack-pull-2125,Performance Degradation,,,,post_generation,,,"[deepset-ai/haystack pull#2125, Shah subcategory: Performance Degradation] The agent executes tasks significantly slower or consumes excessive resources due to inefficient implementation or resource h"
shah-deepset-ai-haystack-pull-4389,Cascading Failures,,,,in_generation,,cascading_failure,"[deepset-ai/haystack pull#4389, Shah subcategory: Cascading Failures] An initial runtime error triggers secondary failures that propagate through the system. For example, in deepset-ai/haystack (e.g.,"
shah-langflow-ai-langflow-pull-4016,Build Issues,,detection,,pre_generation,,,"[langflow-ai/langflow pull#4016, Shah subcategory: Build Issues] The build process fails or performs redundant work due to misconfigured build logic. For example, langflow-ai/langflow (e.g., PR #4016)"
shah-microsoft-autogen-issues-5715,Build Issues,,detection,,pre_generation,,,"[microsoft/autogen issues#5715, Shah subcategory: Build Issues] The build process fails or performs redundant work due to misconfigured build logic. For example, langflow-ai/langflow (e.g., PR #4016) "
shah-eosphoros-ai-DB-GPT-issues-2020,Memory and State Deficiencies,,,,post_generation,,context_pollution|logic_error,"[eosphoros-ai/DB-GPT issues#2020, Shah subcategory: Memory and State Deficiencies] The agent fails to retain or update contextual information across interactions, resulting in context loss or inconsis"
shah-Netflix-metaflow-pull-1444,Failed Exception Handling,,recovery,,post_generation,,cascading_failure,"[Netflix/metaflow pull#1444, Shah subcategory: Failed Exception Handling] The system fails to intercept or propagate exceptions correctly, allowing errors to escape without structured reporting or rec"
shah-PrefectHQ-marvin-issues-98,Misleading Error Messages,,,,,,,"[PrefectHQ/marvin issues#98, Shah subcategory: Misleading Error Messages] The system reports incorrect or irrelevant diagnostic information that misrepresents the actual cause of failure. For example,"
shah-mindsdb-mindsdb-issues-7162,Misleading Error Messages,,,,,,,"[mindsdb/mindsdb issues#7162, Shah subcategory: Misleading Error Messages] The system reports incorrect or irrelevant diagnostic information that misrepresents the actual cause of failure. For example"
shah-deepset-ai-haystack-pull-5590,Unclear Error Messages,,detection,,post_generation,,,"[deepset-ai/haystack pull#5590, Shah subcategory: Unclear Error Messages] The system emits error logs that lack sufficient context or actionable detail for diagnosis. This symptom was observed in deep"
shah-deepset-ai-haystack-pull-4179,Token Limit Violations,,,,in_generation,,scope_creep,"[deepset-ai/haystack pull#4179, Shah subcategory: Token Limit Violations] The agent constructs prompts or contexts that exceed the model’s allowable token window, causing request rejection or truncati"
shah-browser-use-browser-use-pull-1863,LLM Incompatibility,,prevention,,in_generation,,,"[browser-use/browser-use pull#1863, Shah subcategory: LLM Incompatibility] The agent attempts to use models or provider features that are unsupported or incompatible with the framework. For example, b"
shah-agno-agi-agno-issues-3050,LLM Incompatibility,,prevention,,in_generation,,,"[agno-agi/agno issues#3050, Shah subcategory: LLM Incompatibility] The agent attempts to use models or provider features that are unsupported or incompatible with the framework. For example, browser-u"
shah-Arize-ai-phoenix-pull-3845,Timeouts,,correction,,,,incomplete_execution,"[Arize-ai/phoenix pull#3845, Shah subcategory: Timeouts] Requests issued by the agent exceed configured waiting limits, causing operations to abort. This behaviour was observed in asynchronous task ex"
shah-langflow-ai-langflow-pull-3044,Functional UI Defects,,,,post_generation,,,"[langflow-ai/langflow pull#3044, Shah subcategory: Functional UI Defects] Interactive interface elements fail to operate correctly or produce incorrect behaviour. Examples include non-functional dropd"
shah-mindsdb-mindsdb-issues-4429,Functional UI Defects,,,,post_generation,,,"[mindsdb/mindsdb issues#4429, Shah subcategory: Functional UI Defects] Interactive interface elements fail to operate correctly or produce incorrect behaviour. Examples include non-functional dropdown"
shah-crewAIInc-crewAI-issues-2962,Tool Calling Errors,,correction,,in_generation,,,"[crewAIInc/crewAI issues#2962, Shah subcategory: Tool Calling Errors] The agent constructs or passes incorrect parameters during tool invocation, causing the call to fail. Examples include issues in l"
shah-khoj-ai-khoj-issues-89,Decode Errors,,,,pre_generation,,,"[khoj-ai/khoj issues#89, Shah subcategory: Decode Errors] The agent fails to read or process resource content due to encoding mismatches or unsupported character formats. This behaviour was observed i"
shah-khoj-ai-khoj-issues-322,Misleading Instructions,,correction,,pre_generation,,,"[khoj-ai/khoj issues#322, Shah subcategory: Misleading Instructions] Documentation provides ambiguous or confusing guidance that leads to incorrect configuration or integration. This behaviour was obs"
shah-langflow-ai-langflow-pull-5901,Race Conditions,,,,post_generation,,logic_error,"[langflow-ai/langflow pull#5901, Shah subcategory: Race Conditions] Concurrent operations interfere with each other due to improper synchronisation, leading to inconsistent or conflicting execution st"
shah-crewAIInc-crewAI-issues-1877,Incompatible Library Versions,,,,pre_generation,,,"[crewAIInc/crewAI issues#1877, Shah subcategory: Incompatible Library Versions] These faults occur when different components require versions that cannot coexist in the same environment. For example, "
shah-microsoft-autogen-issues-2612,Platform Mismatch,,,,pre_generation,,,"[microsoft/autogen issues#2612, Shah subcategory: Platform Mismatch] These faults arise when dependencies or compiled components assume a different operating system or hardware architecture than the d"
shah-browser-use-web-ui-issues-475,Incorrect Data Parsing,,correction,,post_generation,,logic_error,"[browser-use/web-ui issues#475, Shah subcategory: Incorrect Data Parsing] These faults occur when conversion from unstructured or semi-structured data to structured formats is implemented incorrectly "
shah-Arize-ai-phoenix-pull-857,Unhandled None or Infinite Values,,,,post_generation,,fabrication|logic_error,"[Arize-ai/phoenix pull#857, Shah subcategory: Unhandled None or Infinite Values] These faults arise when validation or sanitisation logic does not catch undefined or extreme values before they are use"
shah-microsoft-autogen-issues-2365,Incorrect Data Type Passed,,prevention,,post_generation,,logic_error,"[microsoft/autogen issues#2365, Shah subcategory: Incorrect Data Type Passed] These faults occur when components pass values whose types do not match expected function or interface signatures. For ins"
shah-microsoft-autogen-issues-1156,LLM Misconfiguration,,prevention,,pre_generation,,incomplete_execution|logic_error,"[microsoft/autogen issues#1156, Shah subcategory: LLM Misconfiguration] These faults occur when model settings are incorrect or inconsistent with provider requirements, preventing proper connection or"
shah-Netflix-metaflow-pull-2047,Prompt Formatting Errors,,correction,,in_generation,,cascading_failure|logic_error,"[Netflix/metaflow pull#2047, Shah subcategory: Prompt Formatting Errors] These faults arise when prompt structure or control tokens are malformed or interpreted incorrectly by the model, leading to do"
shah-agno-agi-agno-issues-3620,Token Management Errors,,correction,,in_generation,,,"[agno-agi/agno issues#3620, Shah subcategory: Token Management Errors] These faults occur when token counting or budgeting logic does not correctly estimate or enforce context limits. For example, mic"
shah-microsoft-autogen-issues-2735,LLM Provider Mismatch,,detection,,in_generation,,,"[microsoft/autogen issues#2735, Shah subcategory: LLM Provider Mismatch] These faults arise when code assumes provider-specific API formats or capabilities that differ across models or platforms. This"
shah-letta-ai-letta-issues-1801,Incorrect Agent State Handling,,correction,,,,,"[letta-ai/letta issues#1801, Shah subcategory: Incorrect Agent State Handling] These faults arise when mechanisms that maintain or update agent state do not keep information consistent across interact"
shah-TransformerOptimus-SuperAGI-issues-194,Incorrect Time Handling,,,,in_generation,,logic_error,"[TransformerOptimus/SuperAGI issues#194, Shah subcategory: Incorrect Time Handling] These faults occur when scheduling or temporal reasoning logic misinterprets time values such as timezones, timestam"
shah-langflow-ai-langflow-pull-4386,Incorrect Parameter Handling,,correction,,post_generation,,logic_error,"[langflow-ai/langflow pull#4386, Shah subcategory: Incorrect Parameter Handling] These faults occur when agents send arguments or data types that do not match the parameter schemas expected by externa"
shah-mindsdb-mindsdb-pull-1061,Incorrect API Calls,,,,post_generation,,fabrication|logic_error,"[mindsdb/mindsdb pull#1061, Shah subcategory: Incorrect API Calls] These faults arise when agents call the wrong endpoints, methods, or request formats that external services do not support. mindsdb/m"
shah-deepset-ai-haystack-pull-8857,Incorrect API Calls,,,,post_generation,,fabrication|logic_error,"[deepset-ai/haystack pull#8857, Shah subcategory: Incorrect API Calls] These faults arise when agents call the wrong endpoints, methods, or request formats that external services do not support. minds"
shah-mindsdb-mindsdb-pull-9755,Improper Exception Handling,,,,,,logic_error,"[mindsdb/mindsdb pull#9755, Shah subcategory: Improper Exception Handling] These faults occur when exceptions are not caught, are caught with the wrong types, or are propagated incorrectly across comp"
shah-mindsdb-mindsdb-issues-5427,Unclear Error Messages,,detection,,post_generation,,,"[mindsdb/mindsdb issues#5427, Shah subcategory: Unclear Error Messages] These faults arise when error messages omit or misrepresent context needed to identify the underlying fault. eosphoros-ai/DB-GPT"
shah-deepset-ai-haystack-pull-4944,Wrong Default Components,,correction,,in_generation,,,"[deepset-ai/haystack pull#4944, Shah subcategory: Wrong Default Components] These faults occur when default configuration values select models, flags, or components that do not match the intended envi"
shah-mindsdb-mindsdb-issues-10866,Invalid Configuration Schema,,,,,,logic_error,"[mindsdb/mindsdb issues#10866, Shah subcategory: Invalid Configuration Schema] These faults arise when configuration files or objects do not follow the structure expected by the system, often due to v"
shah-microsoft-autogen-pull-5967,Object-Oriented Principles (OOP) Misuse,,correction,,,,logic_error,"[microsoft/autogen pull#5967, Shah subcategory: Object-Oriented Principles (OOP) Misuse] These faults arise when class hierarchies, inheritance, or encapsulation are designed incorrectly, leading to r"
shah-SWE-agent-SWE-agent-issues-309,Project Structure and Encoding Issues,,,,,,,"[SWE-agent/SWE-agent issues#309, Shah subcategory: Project Structure and Encoding Issues] These faults occur when module organisation or encoding assumptions do not support required functionality such"
shah-julep-ai-julep-issues-45,Insufficient or Incorrect Documentation,,,,pre_generation,,,"[julep-ai/julep issues#45, Shah subcategory: Insufficient or Incorrect Documentation] These faults occur when required usage information is missing, incomplete, or misleading, preventing correct confi"
shah-crewAIInc-crewAI-issues-213,Insufficient or Incorrect Documentation,,,,pre_generation,,,"[crewAIInc/crewAI issues#213, Shah subcategory: Insufficient or Incorrect Documentation] These faults occur when required usage information is missing, incomplete, or misleading, preventing correct co"
shah-julep-ai-julep-issues-700,Incorrect Permissions,,correction,,pre_generation,,security_vulnerability,"[julep-ai/julep issues#700, Shah subcategory: Incorrect Permissions] These faults occur when agents are given inappropriate access rights or lack the permissions needed for intended operations. julep-"
shah-Arize-ai-phoenix-issues-5332,Authentication Issues,,prevention,,pre_generation,,logic_error|security_vulnerability,"[Arize-ai/phoenix issues#5332, Shah subcategory: Authentication Issues] These faults occur when authentication credentials such as API keys or tokens are missing, invalid, or managed incorrectly, prev"
shah-assafelovic-gpt-researcher-issues-909,Authentication Issues,,prevention,,pre_generation,,logic_error|security_vulnerability,"[assafelovic/gpt-researcher issues#909, Shah subcategory: Authentication Issues] These faults occur when authentication credentials such as API keys or tokens are missing, invalid, or managed incorrec"
shah-pydantic-pydantic-ai-pull-2100,Race Conditions,,,,,,logic_error|security_vulnerability,"[pydantic/pydantic-ai pull#2100, Shah subcategory: Race Conditions] These faults occur when concurrent operations access or modify shared state without proper synchronisation, leading to inconsistent "
